"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total","Perc_Especialista","Perc_Generalista","Perc_Misto"
"2013-03-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-04-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-04-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-05-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-06-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-06-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-07-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-07-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-08-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-09-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-10-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-11-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-12-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-12-01","Ethan A Merritt","Misto",0,3,7,10,0,30,70
"2013-12-01","Thomas Bleher","Generalista",0,3,7,10,0,30,70
"2014-01-01","Bastian Maerkisch","Misto",0,3,7,10,0,30,70
"2014-01-01","Ethan A Merritt","Misto",0,3,7,10,0,30,70
"2014-01-01","Jerome Lodewyck","Misto",0,3,7,10,0,30,70
"2014-02-01","Bastian Maerkisch","Misto",0,3,7,10,0,30,70
"2014-02-01","Ethan A Merritt","Misto",0,3,7,10,0,30,70
"2014-02-01","Jerome Lodewyck","Misto",0,3,7,10,0,30,70
"2014-03-01","Bastian Maerkisch","Misto",0,3,7,10,0,30,70
"2014-03-01","Christoph Bersch","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-03-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-03-01","Jerome Lodewyck","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-04-01","Bastian Maerkisch","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-04-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-04-01","Jerome Lodewyck","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-05-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-06-01","Bastian Maerkisch","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-06-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-07-01","Bastian Maerkisch","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-07-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-08-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-09-01","Bastian Maerkisch","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-09-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-10-01","Bastian Maerkisch","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-10-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-11-01","Bastian Maerkisch","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-11-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-12-01","Bastian Maerkisch","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2014-12-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-01-01","Christoph Bersch","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-01-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-02-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-03-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-04-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-05-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-06-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-07-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-08-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-09-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-10-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-10-01","Hans-Bernhard Broeker","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-11-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2015-12-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2016-01-01","Ethan A Merritt","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
"2016-02-01","Bastian Maerkisch","Misto",0,3,8,11,0,27.2727272727273,72.7272727272727
