"Variabilidades","Desenvolvedor","Valor","Total"
"_DEBUG",1,"2018-10-01",699
"_MSC_VER",5,"2018-10-01",699
"_WIN64",1,"2018-10-01",699
"ENABLE_CLIENT_CR",3,"2018-10-01",699
"ENABLE_MANAGEMENT",4,"2018-10-01",699
"ENABLE_SMALL",5,"2018-10-01",699
"HAVE_CONFIG_VERSION_H",2,"2018-10-01",699
"MANAGMENT_EXTERNAL_KEY",5,"2018-10-01",699
"MBEDTLS_CHACHAPOLY_C",1,"2018-10-01",699
"NID_chacha20_poly1305",1,"2018-10-01",699
"UNICODE",4,"2018-10-01",699
"(TARGET_LINUX) && (ENABLE_IPROUTE)",1,"2018-12-01",699
"ENABLE_SITNL",1,"2018-12-01",699
"TARGET_LINUX",4,"2018-12-01",699
"(ENABLE_CRYPTO_OPENSSL)",2,"2019-09-01",699
"defined(_MSC_VER)",9,"2019-09-01",699
"HAVE_CONFIG_H",10,"2019-09-01",699
"(TLS1_3_VERSION)",2,"2019-11-01",699
"HAVE_EKM",1,"2019-11-01",699
"OPENSSL_VERSION_NUMBER >= 0x10100000L",1,"2019-11-01",699
"TLS1_3_VERSION",1,"2019-11-01",699
"_WIN32",4,"2019-12-01",699
"HAVE_STRSEP",1,"2020-02-01",699
"ENABLE_CRYPTO_OPENSSL",2,"2020-03-01",699
"(ENABLE_ASYNC_PUSH) && (ENABLE_DEF_AUTH)",1,"2020-07-01",699
"(TARGET_FREEBSD) && __FreeBSD_version >= 1200000",1,"2020-07-01",699
"ENABLE_ASYNC_PUSH",2,"2020-07-01",699
"ENABLE_DEF_AUTH",4,"2020-07-01",699
"ENABLE_FRAGMENT",4,"2020-07-01",699
"ENABLE_OCC",4,"2020-07-01",699
"HAVE_EXPORT_KEYING_MATERIAL",2,"2020-07-01",699
"(TARGET_NETBSD)",1,"2020-09-01",699
"TUNSETGROUP",3,"2020-09-01",699
"(ENABLE_ASYNC_PUSH)",1,"2020-10-01",699
