"Variabilidades","Desenvolvedor","Valor","Total"
"defined(HAVE_DSA) /* && !defined(WITH_GEX) */",1,"2019-02-01",253
"defined(WITH_GEX) /* && !defined(HAVE_DSA) */",1,"2019-02-01",253
"HAVE_ARGP_H",7,"2019-02-01",253
"HAVE_ECC",4,"2019-02-01",253
"HAVE_GLOB_H",2,"2019-02-01",253
"KEYS_FOLDER",5,"2019-02-01",253
"WITH_SERVER",3,"2019-02-01",253
"DEBUG_CRYPTO",3,"2019-03-01",253
"_WIN32 /* There is no /dev/null on Windows */",1,"2019-04-01",253
"(HAVE_LIBCRYPTO)",2,"2019-05-01",253
"(HAVE_LIBCRYPTO) || (HAVE_LIBMBEDCRYPTO)",1,"2019-05-01",253
"TEST_ALL_CRYPTO_COMBINATIONS",2,"2019-07-01",253
"(HAVE_OPENSSL_ED25519)",1,"2019-08-01",253
"HAVE_EXPLICIT_BZERO",1,"2019-08-01",253
"HAVE_OPENSSL_ED25519",1,"2019-08-01",253
"_WIN32",6,"2019-09-01",253
"(WITH_BLOWFISH_CIPHER) && (OPENSSH_BLOWFISH_CBC)",1,"2019-10-01",253
"OPENSSH_CHACHA20_POLY1305_OPENSSH_COM",1,"2019-10-01",253
"OPENSSH_CURVE25519_SHA256",1,"2019-10-01",253
"OPENSSH_CURVE25519_SHA256_LIBSSH_ORG",1,"2019-10-01",253
"WITH_BLOWFISH_CIPHER",2,"2019-10-01",253
"__unused__",1,"2019-11-01",253
"UNUSED_PARAM",1,"2019-11-01",253
"_MSC_VER",2,"2020-04-01",253
"WITH_INSECURE_NONE",1,"2020-04-01",253
"HAVE_OPENSSL_EVP_CIPHER_CTX_NEW",2,"2020-12-01",253
"OPENSSL_NO_ENGINE",1,"2020-12-01",253
